CVEGEO,Municipio,CP
11001,Abasolo,36970
11001,Abasolo,36973
11001,Abasolo,36974
11001,Abasolo,36975
11001,Abasolo,36976
11001,Abasolo,36977
11001,Abasolo,36980
11001,Abasolo,36983
11001,Abasolo,36984
11001,Abasolo,36985
11001,Abasolo,36986
11001,Abasolo,36987
11002,Acámbaro,38600
11002,Acámbaro,38610
11002,Acámbaro,38612
11002,Acámbaro,38613
11002,Acámbaro,38614
11002,Acámbaro,38615
11002,Acámbaro,38620
11002,Acámbaro,38623
11002,Acámbaro,38624
11002,Acámbaro,38625
11002,Acámbaro,38630
11002,Acámbaro,38640
11002,Acámbaro,38642
11002,Acámbaro,38650
11002,Acámbaro,38652
11002,Acámbaro,38653
11002,Acámbaro,38654
11002,Acámbaro,38660
11002,Acámbaro,38663
11002,Acámbaro,38664
11002,Acámbaro,38670
11002,Acámbaro,38672
11002,Acámbaro,38673
11002,Acámbaro,38674
11002,Acámbaro,38675
11002,Acámbaro,38676
11002,Acámbaro,38679
11002,Acámbaro,38680
11002,Acámbaro,38682
11002,Acámbaro,38683
11002,Acámbaro,38684
11002,Acámbaro,38689
11002,Acámbaro,38730
11002,Acámbaro,38733
11002,Acámbaro,38734
11002,Acámbaro,38735
11002,Acámbaro,38736
11002,Acámbaro,38737
11002,Acámbaro,38740
11002,Acámbaro,38743
11002,Acámbaro,38745
11002,Acámbaro,38746
11002,Acámbaro,38747
11002,Acámbaro,38750
11002,Acámbaro,38753
11002,Acámbaro,38754
11002,Acámbaro,38755
11002,Acámbaro,38756
11002,Acámbaro,38757
11002,Acámbaro,38758
11002,Acámbaro,38760
11002,Acámbaro,38763
11002,Acámbaro,38764
11002,Acámbaro,38765
11002,Acámbaro,38766
11002,Acámbaro,38767
11002,Acámbaro,38770
11002,Acámbaro,38773
11002,Acámbaro,38774
11002,Acámbaro,38775
11002,Acámbaro,38776
11002,Acámbaro,38777
11002,Acámbaro,38780
11002,Acámbaro,38783
11002,Acámbaro,38784
11002,Acámbaro,38785
11002,Acámbaro,38786
11002,Acámbaro,38787
11004,Apaseo El Alto,38500
11004,Apaseo El Alto,38503
11004,Apaseo El Alto,38504
11004,Apaseo El Alto,38505
11004,Apaseo El Alto,38506
11004,Apaseo El Alto,38507
11004,Apaseo El Alto,38510
11004,Apaseo El Alto,38513
11004,Apaseo El Alto,38514
11004,Apaseo El Alto,38515
11004,Apaseo El Alto,38516
11004,Apaseo El Alto,38517
11004,Apaseo El Alto,38520
11004,Apaseo El Alto,38523
11004,Apaseo El Alto,38524
11004,Apaseo El Alto,38525
11004,Apaseo El Alto,38526
